#OTUId,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5
OTU_35,27,33,20,33,7,22,20,10,11,22,0,0,0,0,0,226,466,383,604,276,129,0,87,610,921,80,1086,161,93,310,365,372,1139,417,301,0,1055,457,0,323,128,194,534,364,885
OTU_60,0,0,0,0,0,17,53,119,6,93,0,0,0,0,0,373,192,44,230,463,75,0,25,261,117,180,469,202,79,52,9,6,38,23,20,0,432,69,0,187,0,0,0,0,0
OTU_88,0,0,0,0,0,23,23,40,15,31,0,0,0,0,0,65,48,22,65,100,67,0,33,200,44,98,104,46,33,19,73,53,24,21,25,0,123,41,0,17,136,54,83,98,110
OTU_64,160,37,245,449,81,45,258,41,34,29,0,0,0,0,0,54,38,7,102,5,54,0,49,38,23,19,26,6,37,4,32,28,42,7,27,0,2,29,0,59,0,0,0,0,0
OTU_73,18,32,97,51,34,120,28,66,64,110,0,0,0,0,0,47,159,168,82,46,94,0,216,28,41,106,111,200,282,152,71,50,252,257,115,0,27,197,0,124,269,157,19,73,46
OTU_46,13,30,210,136,111,43,9,16,10,64,1068,388,644,0,216,4,61,178,37,49,102,0,236,84,25,42,18,15,69,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OTU_58,128,105,89,542,152,143,32,52,12,40,353,45,2,0,85,115,47,63,159,26,48,0,23,51,41,80,53,111,173,192,30,46,100,69,61,0,47,114,0,58,62,73,57,51,38
OTU_507,0,0,0,0,0,18,16,25,3,0,0,0,0,0,0,0,0,0,0,0,37,0,19,41,23,88,75,65,141,86,92,41,21,128,164,0,14,14,0,75,0,0,0,0,0
OTU_57,0,14,7,3,3,13,2,9,5,74,0,0,0,0,0,26,88,50,108,9,34,0,68,83,510,53,53,92,241,108,300,209,567,370,400,0,18,60,0,79,146,69,32,46,184
OTU_416,0,0,0,0,0,18,21,30,18,8,110,27,43,0,17,7,9,13,10,16,36,0,10,6,10,0,51,37,24,8,0,2,2,7,0,0,33,55,0,11,218,91,99,112,224
